id,drop_0,drop_1,drop_2,drop_3
1,wool,lamball_mutton,,
2,red_berries,,,
3,egg,chikipi_poultry,,
4,berry_seeds,low_grade_medical_supplies,,
5,leather,flame_organ,,
6,leather,pal_fluids,,
7,electric_organ,,,
8,mushroom,,,
9,flame_organ,leather,,
10,ice_organ,pal_fluids,,
11,ice_organ,penking_plume,,
12,electric_organ,,,
13,berry_seeds,gumoss_leaf,,
14,leather,bone,,
15,fiber,high_grade_technical_manual,,
16,pal_fluids,,,
17,venom_gland,,,
18,wool,,,
19,venom_gland,small_pal_soul,,
20,rushoar_pork,leather,bone,
21,leather,small_pal_soul,,
22,leather,,,
23,venom_gland,,,
24,gold_coin,,,
25,pal_fluids,,,
26,leather,ruby,gold_coin,
27,gunpowder,tocotoco_feather,,
28,low_grade_medical_supplies,wheat_seeds,,
29,mozzarina_meat,milk,,
30,wheat_seeds,lettuce_seeds,,
31,pal_fluids,,,
32,fiber,,,
33,mushroom,leather,tomato_seeds,
34,cotton_candy,high_quality_pal_oil,,
35,caprity_meat,red_berries,horn,
36,wool,leather,,
37,eikthyrdeer_venison,leather,horn,
38,leather,,,
39,leather,beautiful_flower,,
40,horn,leather,,
41,honey,lettuce_seeds,wheat_seeds,
42,horn,flame_organ,,
43,raw_dumud,high_quality_pal_oil,,
44,bone,venom_gland,small_pal_soul,
45,copper_key,silver_key,,
46,bone,,,
47,galeclaw_poultry,leather,,
48,wheat_seeds,arrow,,
49,leather,bone,,
50,honey,,,
51,honey,elizabee's_staff,,
52,high_quality_pal_oil,,,
53,wool,,,
54,wool,,,
55,leather,,,
56,leather,electric_organ,horn,
57,leather,ice_organ,,
58,flame_organ,leather,,
59,reindrix_venison,leather,horn,ice_organ
60,electric_organ,,,
61,flame_organ,leather,,
62,electric_organ,,,
63,paldium_fragment,,,
64,wheat_seeds,,,
65,pal_fluids,,,
66,bone,small_pal_soul,,
67,ore,high_quality_pal_oil,,
68,leather,small_pal_soul,,
69,mushroom,cake,suspicious_juice,strange_juice
70,flame_organ,high_quality_pal_oil,,
71,bone,ruby,gold_coin,
72,bone,ingot,,
73,electric_organ,,,
74,flame_organ,,,
75,leather,katress_hair,high_grade_technical_manual,
76,flame_organ,high_grade_technical_manual,,
77,leather,bone,,
78,low_grade_medical_supplies,tomato_seeds,,
79,high_quality_cloth,ice_organ,,
80,high_quality_pal_oil,,,
81,raw_kelpsea,pal_fluids,,
82,cloth,precious_dragon_stone,,
83,ice_organ,,,
84,flame_organ,,,
85,high_quality_pal_oil,ruby,,
86,broncherry_meat,tomato_seeds,,
87,beautiful_flower,,,
88,flame_organ,,,
89,wool,,,
90,high_quality_pal_oil,leather,mammorest_meat,
91,ice_organ,beautiful_flower,,
92,honey,,,
93,leather,horn,,
94,cloth,small_pal_soul,,
95,high_quality_pal_oil,,,
96,coal,flame_organ,,
97,venom_gland,medium_pal_soul,,
98,pal_metal_ingot,pure_quartz,,
99,coal,venom_gland,,
100,bone,large_pal_soul,innovative_technical_manual,
101,pal_fluids,,,
102,flame_organ,,,
103,electric_organ,leather,,
104,low_grade_medical_supplies,beautiful_flower,innovative_technical_manual,
105,flame_organ,,,
106,electric_organ,,,
107,pal_metal_ingot,carbon_fiber,innovative_technical_manual,
108,pal_metal_ingot,diamond,,
109,pal_metal_ingot,large_pal_soul,,
110,ice_organ,diamond,,
111,pure_quartz,polymer,carbon_fiber,diamond
112,ice_organ,,,
113,ice_organ,sapphire,,
114,flame_organ,,,
115,fiber,ice_organ,,
116,mushroom,electric_organ,leather,
117,eikthyrdeer_venison,leather,horn,
118,horn,leather,,
119,flame_organ,silver_key,,
120,wheat_seeds,arrow,,
121,flame_organ,leather,,
122,tomato_seeds,,,
123,pal_fluids,,,
124,bone,ice_organ,sapphire,
125,high_quality_pal_oil,,,
126,raw_kelpsea,flame_organ,,
127,flame_organ,,,
128,high_quality_pal_oil,electric_organ,sapphire,
129,broncherry_meat,lettuce_seeds,,
130,ice_organ,,,
131,wool,ice_organ,,
132,high_quality_pal_oil,leather,mammorest_meat,
133,lettuce_seeds,tomato_seeds,beautiful_flower,
134,high_quality_pal_oil,flame_organ,,
135,pal_fluids,,,
136,low_grade_medical_supplies,beautiful_flower,innovative_technical_manual,
137,pure_quartz,large_pal_soul,,
